gM,rbM,rI,gI,bI
25,52,2,7,5
23,47,2,7,5
22,61,2,8,5
19,49,3,11,6
17,46,3,13,8
16,46,3,14,9
16,45,3,14,9
19,56,2,11,8
23,49,2,8,6
24,45,2,6,5
22,44,2,5,3
13,51,1,5,3
7,16,2,4,3
18,47,2,6,3
23,59,2,7,4
22,59,2,8,5
23,59,2,8,5
7,12,2,4,4
6,16,1,5,3
14,30,2,6,4
8,12,2,5,4
5,21,1,5,3
17,32,1,5,4
23,62,2,8,5
21,56,2,9,6
23,57,2,8,5
20,41,2,5,3
24,63,2,7,4
20,50,3,10,5
19,48,3,11,7
18,47,3,12,7
17,47,3,12,7
21,45,3,10,7
22,44,3,9,6
10,22,2,4,3
21,43,2,5,4
23,52,2,6,4
21,55,2,7,4
22,44,3,7,4
17,24,2,5,4
18,30,2,6,4
14,29,2,6,4
7,17,2,5,4
21,49,2,7,4
20,34,2,6,4
24,55,2,6,4
23,61,2,7,4
22,63,2,8,4
23,53,2,7,4
24,49,3,7,4
22,46,3,8,5
23,48,3,8,5
22,60,2,8,5
26,48,2,6,5
13,20,2,4,4
12,48,1,5,3
14,53,1,5,3
7,26,1,4,3
10,17,1,4,4
20,41,2,5,4
22,44,2,5,4
14,49,1,6,3
15,41,1,5,4
24,45,2,6,4
23,43,2,6,4
18,51,1,5,3
18,49,1,5,3
17,24,1,5,4
16,28,1,5,4
23,58,2,7,4
19,45,1,5,4
23,55,2,6,4
22,52,2,6,4
21,33,2,5,4
14,54,1,5,3
18,62,1,5,3
18,31,1,5,4
17,38,2,5,4
15,40,2,6,3
7,14,1,5,4
12,25,1,5,4
6,14,1,4,4
14,31,2,6,4
6,17,1,5,4
20,51,2,7,4
22,44,2,7,5
19,35,1,5,4
20,47,2,6,4
22,48,2,5,3
23,49,2,5,3
18,39,2,5,4
15,33,1,4,3
12,49,1,5,3
13,25,1,4,4
6,13,1,4,3
21,49,2,8,5
15,51,1,6,3
20,28,2,5,4
