gM,rbM,rI,gI,bI
3,3,64,72,72
3,3,59,67,64
4,5,45,54,47
6,4,63,34,47
5,5,45,47,48
2,2,88,91,118
4,4,54,54,52
3,3,52,65,63
3,4,55,73,54
1,2,81,133,115
5,5,38,41,53
6,4,61,36,60
4,4,55,59,55
4,3,61,57,67
4,3,71,54,83
4,4,50,55,57
3,3,72,72,77
3,3,65,72,68
6,6,36,37,36
7,6,38,33,34
3,2,106,72,106
2,2,105,123,111
1,2,83,128,117
3,4,50,71,62
3,2,94,83,109
3,2,83,71,143
5,5,45,43,47
3,2,80,80,87
4,3,65,59,83
3,3,72,75,70
5,2,74,46,85
1,2,112,134,125
3,2,101,76,100
4,4,49,51,49
2,1,113,111,134
3,3,65,74,69
3,3,66,71,67
5,5,35,47,44
4,5,40,50,51
1,2,101,130,120
5,3,66,47,63
2,2,93,100,126
8,6,34,25,30
2,2,78,90,88
4,4,50,56,53
2,2,83,93,88
2,3,79,88,78
4,2,65,60,97
2,2,83,85,88
3,4,44,62,54
6,5,42,35,35
4,4,50,58,57
2,1,116,125,147
8,6,37,25,29
2,2,100,108,105
4,3,68,60,74
3,4,49,63,64
4,4,50,49,47
2,2,80,86,85
5,3,69,48,69
2,2,113,116,111
6,5,41,34,49
2,3,83,87,81
3,3,56,75,65
5,5,44,44,44
2,2,89,84,101
2,2,74,92,89
1,1,127,141,132
3,3,66,82,76
4,2,68,52,87
3,4,59,64,60
6,6,31,37,36
2,2,83,99,92
3,3,50,76,74
7,5,36,30,42
4,4,46,52,50
6,3,49,35,64
2,2,111,127,119
3,4,60,63,60
2,2,102,124,115
6,6,29,38,38
6,6,35,35,32
1,2,113,129,120
1,2,103,138,125
3,4,44,65,53
2,2,88,110,105
5,5,35,45,41
3,4,45,66,57
3,3,64,72,66
3,3,71,82,76
8,6,29,26,47
3,3,68,69,66
4,5,40,55,58
5,5,45,48,47
2,2,81,84,122
1,2,106,139,124
6,6,38,38,40
6,5,37,38,52
8,6,37,28,39
4,4,60,54,58
5,5,36,43,46
2,1,102,91,138
6,6,32,37,46
8,6,31,27,34
2,2,79,99,95
2,2,103,123,118
7,6,32,30,41
2,3,70,90,84
4,3,64,61,60
6,6,39,35,35
6,4,48,34,66
2,2,105,107,111
4,3,60,54,78
3,3,70,74,72
3,4,61,63,61
4,4,56,57,60
6,4,45,38,65
2,2,85,98,87
2,1,106,106,134
2,2,73,91,88
2,2,78,92,89
4,2,67,54,94
2,3,73,91,84
3,3,72,74,73
6,5,36,36,41
7,6,32,29,42
2,1,107,121,141
3,3,63,77,73
3,3,75,79,80
7,6,29,33,38
6,5,40,37,42
3,2,70,72,109
1,1,117,138,147
4,2,78,59,94
2,2,92,91,93
3,3,69,68,65
2,3,61,89,70
4,4,51,56,54
4,5,46,51,47
3,4,43,66,55
4,4,44,61,70
6,6,32,34,41
1,2,112,138,127
3,3,75,82,67
6,6,39,35,33
6,6,35,38,32
2,2,96,113,105
4,5,47,53,42
3,2,85,65,100
3,2,109,76,94
4,5,39,54,53
5,3,58,45,94
4,5,44,52,38
2,2,88,112,104
5,4,46,45,50
6,6,29,37,45
3,3,65,76,71
4,4,49,61,55
2,2,103,127,118
3,3,67,64,66
4,6,40,49,35
1,2,102,132,126
3,3,50,67,71
3,3,74,72,77
