gM,rbM,rI,gI,bI
9,33,1,6,4
5,22,1,4,3
9,29,5,26,15
23,35,4,7,5
12,24,9,19,9
21,43,3,7,4
12,26,7,18,11
14,21,7,16,16
7,17,1,5,3
18,24,2,5,4
24,41,2,5,4
13,31,2,6,4
19,46,2,7,4
8,22,7,29,19
22,46,1,6,4
10,24,6,22,18
18,32,1,5,4
13,33,1,6,4
15,21,9,15,11
9,13,20,25,14
17,19,14,13,8
19,35,4,11,9
12,30,2,5,3
21,26,2,6,6
15,31,1,6,4
14,37,1,6,4
10,18,13,23,11
9,20,9,25,14
17,22,2,6,5
11,31,1,6,4
11,20,2,4,4
12,22,8,19,14
18,29,8,12,6
12,23,2,6,5
18,39,2,5,3
17,46,1,6,4
18,26,8,12,8
17,38,1,5,3
12,26,1,4,4
18,43,3,12,8
20,41,2,5,3
10,20,2,6,4
19,43,2,5,3
23,36,3,6,5
21,19,12,10,7
24,35,2,6,5
11,32,6,20,8
20,37,3,6,3
6,20,8,37,21
5,11,2,5,4
16,32,7,13,6
22,36,4,8,5
9,18,11,24,14
17,45,2,6,3
9,23,1,6,4
14,23,1,5,4
10,17,12,23,15
10,20,9,23,15
15,36,2,5,4
14,32,1,6,3
8,16,2,5,3
10,34,4,23,16
15,27,1,6,4
7,20,9,31,15
13,22,2,5,4
9,26,7,25,12
8,14,1,4,3
13,29,2,5,4
14,29,5,16,12
10,18,16,22,9
5,14,13,44,25
10,44,1,5,3
15,41,1,6,3
9,18,12,24,13
8,20,11,27,12
7,20,1,4,3
15,39,1,6,4
19,25,8,11,8
8,18,10,28,18
14,20,2,5,4
5,16,11,43,21
14,30,2,6,4
20,38,1,5,4
11,24,1,5,4
6,13,15,35,19
24,42,3,7,6
6,20,8,37,22
18,29,2,6,4
19,33,6,10,5
20,31,1,5,4
11,16,18,20,10
21,31,3,6,5
23,17,2,7,7
9,11,16,26,26
18,33,3,6,4
23,44,2,6,4
6,21,7,38,23
20,19,2,6,6
16,42,1,5,3
21,39,3,6,3
10,19,11,22,13
21,44,3,8,5
18,36,2,6,4
18,30,5,12,10
17,15,19,13,10
13,18,1,6,4
19,31,6,10,6
22,26,7,9,7
10,33,1,4,3
22,44,3,8,6
7,14,14,32,17
17,43,3,13,9
18,37,4,12,8
18,24,2,5,5
17,28,7,12,8
24,37,3,7,6
11,23,2,4,3
16,33,2,5,4
16,20,13,14,7
17,37,2,5,3
14,34,5,16,9
8,19,10,27,14
9,15,11,24,24
15,26,8,14,8
9,28,6,26,12
5,18,9,42,23
17,26,9,13,7
13,43,1,5,3
15,19,8,15,18
16,45,3,14,9
6,19,8,37,23
9,16,13,26,15
24,34,4,7,5
13,23,1,6,4
11,35,2,6,3
12,31,1,4,3
11,20,2,5,4
18,24,10,12,7
6,11,15,35,29
10,22,10,23,10
5,18,9,42,21
13,21,1,4,4
22,19,10,10,6
15,39,1,6,3
9,29,6,24,11
17,18,8,13,18
21,30,3,5,4
12,19,16,18,8
24,21,5,6,4
13,26,8,17,9
23,34,5,8,5
13,24,7,17,12
24,35,5,8,5
20,43,2,8,6
18,37,2,6,4
21,39,3,7,5
11,34,1,5,3
11,24,1,5,3
11,17,9,20,21
21,33,5,9,5
21,43,2,7,4
6,13,12,39,31
10,23,8,23,12
22,43,2,6,5
24,19,4,9,13
14,29,2,6,5
11,26,2,5,3
18,36,1,5,3
10,18,1,4,3
5,17,9,42,28
12,20,12,18,10
21,43,3,9,6
17,25,5,13,15
17,36,4,13,9
14,37,4,16,9
6,12,13,35,34
8,36,1,5,3
10,16,15,22,13
23,42,3,8,6
19,40,1,5,4
19,27,2,6,4
9,11,2,5,5
11,22,3,6,4
10,40,1,6,3
23,43,2,6,4
16,43,4,13,6
10,16,10,23,21
10,40,1,4,3
6,11,16,37,30
15,33,5,14,9
20,34,5,10,7
23,42,2,7,6
12,19,2,5,5
14,35,1,5,3
17,30,3,6,4
9,19,8,26,22
15,26,6,14,12
9,21,2,4,3
19,34,2,6,5
19,26,1,5,4
11,30,2,6,3
20,35,5,10,6
21,27,4,10,13
8,18,9,27,21
6,17,10,39,19
18,46,2,7,4
21,46,3,8,5
22,38,3,7,5
24,34,3,6,5
24,34,4,7,6
24,15,2,7,7
7,22,8,30,14
14,24,3,5,4
11,22,1,5,4
6,20,2,5,3
9,30,1,4,3
18,19,12,12,9
17,24,2,6,5
10,17,2,4,3
10,27,1,6,4
15,46,1,5,3
20,39,2,5,3
15,42,1,6,3
24,41,2,6,5
10,23,7,22,14
21,35,2,6,4
9,16,10,26,23
7,16,12,34,17
9,16,11,24,19
20,34,5,9,5
22,37,2,5,4
8,20,1,5,4
9,18,11,25,14
5,13,13,48,31
15,40,1,5,4
22,22,4,10,13
18,31,7,12,6
12,37,4,18,10
23,41,2,5,4
18,28,3,5,3
16,28,1,5,3
7,13,1,4,3
19,39,2,6,4
9,14,2,5,4
11,31,2,6,4
10,31,1,4,3
13,17,2,4,4
7,18,10,33,16
24,26,3,8,9
11,36,4,20,12
14,34,4,16,12
21,39,1,5,4
11,31,1,5,4
9,17,11,24,15
5,15,12,49,21
13,22,7,17,16
14,21,13,16,8
10,20,10,22,12
9,22,8,25,14
23,27,5,7,5
16,27,7,13,9
15,37,4,14,9
18,28,7,12,8
8,13,13,29,27
12,13,13,19,23
9,32,1,4,3
19,39,2,5,4
19,43,1,5,4
18,29,7,12,7
14,33,6,16,7
5,17,11,41,18
20,41,2,6,4
17,45,3,13,8
6,17,1,5,4
21,39,3,10,8
22,37,3,6,3
21,24,9,10,7
14,18,15,16,8
23,28,2,6,5
10,26,2,6,3
7,11,16,34,30
13,25,1,4,4
11,17,17,20,10
12,19,10,19,14
13,24,3,5,4
5,16,2,5,3
