gM,rbM,rI,gI,bI
1,2,111,135,125
2,3,73,86,80
2,3,73,91,84
2,2,81,105,100
3,3,50,77,69
3,3,64,75,73
1,1,122,144,145
2,2,80,105,95
4,2,73,59,113
4,3,64,60,63
2,2,64,100,103
5,5,47,45,47
6,5,35,40,42
2,1,111,102,132
3,3,66,74,71
3,3,53,66,89
4,4,57,54,61
2,2,95,122,111
1,2,106,139,125
2,2,93,119,112
2,2,84,96,93
8,5,33,28,64
4,4,55,60,56
4,3,61,55,81
2,2,110,126,119
4,3,67,59,70
2,2,110,127,119
2,3,75,86,78
3,2,86,81,88
6,6,32,34,34
6,5,40,35,38
4,4,45,56,63
1,1,110,140,130
3,3,63,64,61
5,5,35,45,41
4,5,45,60,46
5,5,46,42,34
2,2,72,96,86
2,2,79,95,89
5,5,43,42,43
2,2,85,93,85
6,5,42,38,39
2,2,77,100,96
2,2,88,97,98
1,1,119,139,137
5,5,37,47,45
3,2,99,72,113
3,3,74,74,68
6,4,52,34,57
3,4,57,65,48
2,2,107,114,114
3,3,52,68,73
2,3,69,84,77
4,2,70,61,86
5,3,56,45,74
6,6,35,34,32
2,2,118,99,119
5,3,56,49,64
4,4,53,58,54
4,4,55,56,59
5,5,44,46,47
3,3,66,64,61
6,6,35,40,38
2,2,81,92,88
2,2,79,109,88
4,3,62,62,60
6,4,51,34,46
2,1,110,126,138
4,4,55,52,53
2,2,102,111,106
7,4,41,31,74
6,5,35,36,43
4,4,43,53,51
2,2,97,111,108
5,3,51,46,69
2,2,83,96,89
1,1,114,146,135
8,6,39,28,35
4,3,64,62,63
1,2,105,133,116
2,2,80,103,99
1,1,124,128,149
8,6,29,26,47
4,4,56,52,62
2,2,90,102,98
2,2,78,115,104
3,3,55,77,66
7,6,33,31,48
4,5,38,50,44
3,3,68,75,71
3,3,64,64,61
3,4,55,64,59
2,3,58,87,80
5,3,54,44,78
4,6,48,51,34
5,5,38,44,43
2,1,106,106,134
2,2,101,120,107
2,2,110,97,117
5,5,34,42,41
2,2,86,99,96
3,2,77,68,105
3,4,42,62,53
3,3,68,75,70
3,3,76,78,73
6,4,47,39,53
3,3,52,71,67
3,3,68,74,69
2,2,106,95,114
3,3,56,67,64
2,1,129,118,141
4,3,68,61,65
2,1,107,127,136
5,5,42,43,42
3,3,59,73,71
1,2,104,131,121
4,6,36,49,40
4,5,38,56,53
4,4,46,54,53
4,4,60,61,59
3,3,62,72,67
1,1,119,140,143
1,2,89,137,119
6,5,41,36,47
4,3,62,55,65
5,5,43,44,44
5,3,55,41,69
5,3,70,42,60
2,1,105,97,143
4,3,65,62,83
3,2,77,68,91
2,2,103,88,112
4,4,51,55,53
6,6,32,39,39
2,1,119,98,143
6,4,44,37,50
5,6,33,43,42
4,5,43,50,48
2,2,105,127,114
3,3,68,70,66
5,5,35,42,48
2,2,95,113,107
4,2,73,59,101
4,4,56,53,62
4,3,56,58,79
4,4,53,61,58
2,1,105,108,132
5,5,42,45,46
2,2,83,85,88
4,3,62,60,58
1,1,118,144,146
4,5,48,57,44
6,6,37,34,39
2,3,62,90,105
6,5,35,40,44
4,4,42,60,52
1,1,102,137,133
2,1,129,125,140
5,5,40,42,48
2,2,99,121,114
6,5,35,34,42
4,2,66,57,84
2,1,111,105,145
5,5,35,46,50
3,4,48,68,62
3,2,70,75,99
3,3,54,82,81
5,6,32,42,39
5,4,48,41,54
4,4,52,50,52
2,2,104,122,113
2,1,124,124,146
5,3,61,43,76
1,1,123,148,152
2,2,89,101,90
4,2,75,52,93
2,2,74,93,90
3,4,43,68,63
3,3,63,73,60
6,6,36,39,40
4,3,52,61,104
4,3,59,52,77
2,2,93,109,114
6,5,41,39,38
4,5,40,56,54
4,4,49,54,50
4,5,45,54,47
4,5,42,52,40
4,4,42,50,58
3,3,70,73,69
4,5,37,53,52
7,6,35,32,33
3,2,74,72,112
4,5,47,53,43
2,2,84,113,103
5,5,47,46,47
2,2,99,119,110
4,4,51,57,51
2,3,59,93,81
2,2,95,121,112
4,2,63,55,120
3,3,75,81,76
2,2,88,91,118
3,3,61,63,64
6,6,33,39,37
1,1,114,142,139
2,1,119,117,140
2,2,73,92,86
2,2,73,91,87
4,4,49,58,55
7,4,41,29,53
2,2,77,92,86
5,5,38,48,45
2,2,91,109,99
4,3,72,59,67
5,4,59,43,56
8,5,35,27,42
8,6,37,25,30
2,2,78,104,96
2,2,76,84,102
2,2,84,92,89
5,5,39,43,54
3,2,82,80,107
2,2,101,112,113
3,3,66,66,58
4,3,72,59,66
2,2,90,100,89
2,2,90,122,111
2,2,92,96,124
6,4,49,37,60
3,2,85,81,80
5,3,70,43,67
3,2,89,71,101
3,4,46,64,62
5,5,45,48,46
4,4,48,51,50
4,2,78,57,93
2,2,95,88,101
1,1,129,144,150
7,6,33,31,49
6,4,42,35,58
2,1,102,111,141
4,4,42,55,52
3,3,66,81,66
5,5,47,44,48
6,5,46,38,43
3,3,75,80,79
1,2,94,137,109
4,4,42,53,51
1,2,111,144,126
5,4,50,47,50
4,4,57,55,56
3,4,56,70,53
4,4,46,54,52
2,2,96,109,103
4,4,50,62,61
6,6,33,35,39
6,6,33,39,36
3,3,64,76,75
6,6,39,38,38
3,2,82,74,111
5,5,45,46,37
8,6,27,26,42
8,6,29,28,34
2,3,56,88,74
6,6,32,35,38
4,3,64,58,62
4,6,40,50,38
7,6,32,32,39
6,5,43,40,40
1,2,101,133,123
4,3,60,49,68
6,5,39,37,43
4,4,43,50,54
1,1,123,141,134
5,3,54,49,71
7,4,34,33,72
3,3,70,70,75
6,5,47,36,49
3,2,98,65,81
2,2,93,101,99
2,2,80,104,95
2,2,84,92,83
4,5,35,50,48
5,4,49,44,52
1,1,111,148,133
5,3,67,48,77
3,3,59,67,66
8,5,42,28,38
4,5,40,49,44
2,3,80,87,79
5,4,49,45,49
1,2,107,128,120
5,6,35,40,31
7,4,67,32,44
3,2,95,65,97
6,3,54,39,68
4,2,68,59,101
4,5,38,50,46
7,6,29,33,34
3,2,74,63,108
5,5,36,42,49
5,5,41,42,36
5,5,42,46,44
3,2,92,83,99
2,3,74,84,82
4,4,51,50,51
2,2,80,103,97
4,3,67,61,75
4,5,39,50,50
8,4,47,27,52
4,4,55,59,57
3,3,65,79,73
2,2,83,98,92
5,4,51,49,49
2,2,100,126,117
5,5,44,46,48
7,5,39,32,47
7,6,34,33,34
4,4,42,54,53
4,4,61,62,59
2,2,95,105,94
4,4,48,55,54
5,4,51,45,46
7,5,38,31,54
5,6,36,42,35
4,5,39,53,57
4,4,57,56,57
3,3,71,72,70
7,4,47,32,51
1,2,114,136,124
6,5,39,39,44
2,2,86,109,103
3,4,46,67,54
1,1,112,138,132
4,2,83,61,148
3,3,69,82,80
3,4,52,64,62
2,2,100,121,105
6,6,32,39,36
3,4,53,65,62
5,3,66,42,59
1,2,102,132,123
4,4,57,57,55
1,1,128,144,136
3,4,61,66,62
3,4,44,65,53
2,2,86,105,98
2,2,83,98,89
4,2,72,52,111
6,6,32,36,35
3,4,52,63,55
1,1,126,148,132
2,3,75,87,82
4,4,43,56,55
5,5,45,48,44
5,5,45,47,45
7,5,37,32,56
4,4,49,60,57
2,2,100,111,106
7,6,29,31,36
7,6,30,32,40
4,4,49,51,48
1,2,113,130,126
6,3,71,36,53
3,3,57,72,78
2,2,94,97,98
2,2,95,118,111
4,4,55,53,52
3,2,93,72,97
1,1,128,149,142
2,1,101,114,130
6,3,66,38,80
2,2,101,123,116
3,4,43,66,65
2,3,76,88,82
5,4,53,48,55
2,2,97,114,108
4,4,51,50,48
3,3,66,75,69
3,2,80,66,89
5,5,44,41,42
2,2,106,126,115
5,5,40,41,47
1,1,125,129,136
6,5,39,36,43
2,2,97,118,110
4,5,40,53,42
7,5,41,33,48
6,3,67,40,68
4,4,49,51,49
5,5,43,47,46
3,2,80,70,95
7,6,33,29,35
4,2,65,54,130
2,2,87,86,112
2,2,101,116,108
7,6,30,30,34
4,2,90,55,81
4,3,58,52,68
2,3,75,84,81
2,2,114,113,111
1,1,105,137,141
7,6,32,29,41
4,3,57,60,63
4,4,53,61,60
5,4,52,47,50
8,6,28,28,51
2,1,113,111,134
3,2,89,82,111
5,4,40,47,52
2,2,85,101,96
7,6,34,31,32
6,5,44,35,48
7,6,31,30,38
3,3,66,83,79
5,5,46,42,44
2,1,122,117,135
2,3,65,86,62
4,4,47,51,50
1,1,106,139,131
2,3,66,94,70
6,6,36,35,38
6,6,34,39,40
2,1,118,122,138
2,1,116,122,149
8,6,27,27,51
3,3,72,77,72
1,2,108,139,122
2,2,66,87,90
6,6,38,39,39
4,4,49,59,58
6,6,39,37,31
5,5,35,48,43
1,2,103,130,118
6,6,34,35,40
2,1,119,115,145
2,2,85,94,82
3,2,80,83,129
8,5,34,26,53
5,6,44,45,33
2,2,81,97,90
2,2,87,95,93
4,4,50,51,58
3,4,53,73,57
2,2,106,99,126
3,3,55,66,63
3,4,48,75,65
3,3,79,78,82
4,3,61,57,64
