gM,rbM,rI,gI,bI
3,2,52,37,69
3,2,44,31,59
3,3,34,26,47
3,3,26,22,36
3,3,20,19,27
2,2,17,17,20
2,3,27,18,25
3,3,32,21,31
3,3,35,22,36
3,3,35,22,38
3,3,32,22,37
3,3,28,20,33
3,3,23,19,28
2,3,20,18,23
2,2,15,16,17
2,3,23,17,21
2,3,23,17,22
2,2,18,15,17
2,2,17,16,19
2,2,17,15,19
3,3,22,19,25
3,3,23,20,27
3,3,24,20,27
3,3,20,19,23
3,3,23,21,27
3,3,27,25,31
3,3,31,29,35
3,3,35,33,38
3,3,36,34,39
3,3,34,32,38
3,3,29,26,33
2,2,18,16,21
3,3,21,19,24
3,3,24,24,30
3,3,29,31,37
3,3,35,40,44
3,3,41,49,50
3,3,48,56,55
2,3,53,61,56
3,3,52,56,53
3,3,43,42,46
3,3,30,28,36
3,3,21,20,26
3,3,25,24,30
3,3,29,32,39
3,3,35,43,48
3,2,42,57,58
2,2,49,70,66
2,2,57,82,72
2,2,65,92,74
2,2,65,86,69
2,2,55,64,58
3,3,39,39,43
3,3,26,23,30
2,2,18,17,22
3,3,28,28,35
3,3,33,40,45
3,3,39,53,55
2,2,45,67,66
2,2,52,80,76
2,2,61,95,83
2,2,67,104,84
2,2,69,99,77
2,2,60,75,63
3,3,43,44,47
3,3,28,25,33
2,3,20,17,22
3,3,24,22,29
3,3,34,44,48
3,3,39,56,57
2,2,44,66,67
2,2,50,77,77
2,2,56,89,84
2,2,61,96,84
2,2,62,88,75
2,2,54,68,61
3,3,41,42,45
3,3,28,24,32
2,3,19,17,22
3,3,29,32,40
3,3,34,45,49
3,3,37,56,56
2,2,41,63,63
2,2,46,69,71
2,2,51,77,77
2,2,54,79,75
2,2,52,71,65
3,3,45,52,52
3,3,34,33,40
2,2,16,17,15
3,3,23,21,28
3,3,28,30,38
3,3,32,42,47
3,3,36,53,54
2,2,39,59,59
2,2,42,62,63
2,2,45,65,65
2,2,45,63,62
3,3,42,52,53
3,3,36,38,42
3,3,27,25,32
3,3,26,25,34
3,3,30,34,42
3,3,33,44,48
3,3,36,50,52
3,3,38,52,54
3,3,39,51,54
3,3,37,45,49
3,3,33,37,42
3,3,28,27,33
3,3,22,20,26
2,2,18,15,18
3,3,23,20,28
3,3,26,26,34
3,3,29,31,40
3,3,31,35,42
3,3,32,36,43
3,3,32,34,41
3,3,30,30,37
3,3,26,25,32
3,3,25,23,31
3,3,26,24,32
3,3,25,23,30
3,3,23,20,24
3,3,24,21,26
3,3,22,20,25
2,2,17,15,20
3,3,27,26,31
3,3,32,32,35
3,3,34,36,36
3,3,32,32,34
3,3,27,24,29
3,3,22,21,26
3,3,28,29,34
3,3,35,40,41
3,3,42,51,47
2,3,45,58,48
3,3,43,51,44
3,3,35,36,36
3,3,26,23,28
3,3,26,26,32
3,3,32,39,42
3,3,40,53,51
2,3,46,66,57
2,3,50,74,56
2,3,49,66,50
3,3,39,45,39
3,3,28,27,29
3,3,22,21,27
3,3,28,31,37
3,3,35,45,47
2,3,41,59,55
2,2,47,70,59
2,3,48,73,57
2,3,46,64,50
3,3,37,44,39
3,3,27,27,29
3,3,23,22,29
3,3,29,33,39
3,3,36,48,49
2,3,40,61,55
2,3,43,65,57
2,3,43,63,53
3,3,40,53,45
3,3,32,37,36
3,3,25,24,26
3,3,23,22,28
3,3,30,33,39
3,3,35,48,48
2,3,38,58,52
2,3,39,59,51
3,3,38,52,47
3,3,34,42,39
3,3,28,30,31
2,3,20,17,20
3,3,28,28,34
3,3,32,40,43
3,3,35,49,46
3,3,35,48,45
3,3,28,32,33
3,3,24,24,27
3,3,21,19,22
3,3,23,21,23
3,3,25,23,24
3,3,24,22,23
3,3,24,21,27
3,3,30,33,37
3,3,29,34,36
3,3,27,29,32
3,3,20,19,22
3,3,25,26,27
3,3,28,30,29
3,3,31,34,31
3,3,32,35,31
3,3,31,31,28
3,3,25,24,25
3,3,23,20,25
3,3,24,22,26
3,3,22,20,24
3,3,21,22,24
3,3,28,34,32
3,3,32,40,36
3,3,35,46,37
3,3,37,46,37
3,3,35,41,33
3,3,30,30,28
3,3,26,31,32
3,3,29,38,36
3,3,32,44,39
3,3,36,50,41
3,3,38,51,40
3,3,36,45,36
3,3,31,33,30
1,2,16,14,16
3,3,26,33,33
3,3,29,38,37
3,3,31,43,40
3,3,34,47,41
3,3,35,47,39
3,3,33,41,35
3,3,28,30,28
3,3,26,33,32
3,3,28,37,35
3,3,29,39,38
3,3,31,41,38
3,3,31,40,36
3,3,28,33,31
3,3,25,26,26
3,3,25,31,31
